No_nota   ,Tip_not      ,Fecha     ,Cve_factu,No_fac    ,Tot_nota            ,Saldo               ,Nom_cte                                                                                                                                                                                                                                                       ,No_cliente,No_estado ,Iva                 ,Ieps                ,Retisrcre           ,Retiva_not          ,Impto1              ,Impto2              ,Timpto1,Timpto2,Otrosimptos,Subtotal            ,Descuento           ,Cve_mon   ,Des_mon                                                                         ,Tip_cam   ,Cve_age,Nom_age                                 ,Cve_ncre    ,Cve_mov   ,Num_cuenta,Afeban,No_ped    ,Suc_ped,No_rem    ,Suc_rem,Cse_prod  ,Cve_prod            ,Desc_prod                               ,New_med,Unidad,Cantidad            ,Valor_prod          ,Dcto1       ,Dcto2       ,Costo_prom          ,Lote                          ,Ref_lote                 ,Desc_med                                ,Lote_ext001                   
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,487.2,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,67.2,0,0,0,0,0,0,0,0,420,180,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,VR        ,51TBCE01            ,CITRICE - EQ /60 TABS.                  ,       ,PZA   ,10,60,0,0,110.9,1.30E+46,                         ,                                        ,CAG13K0076                    
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,0,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,0,0,0,0,0,0,0,0,0,0,0,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,VR        ,51JBDB02            ,DIABEBRON JARABE 120 ML.                ,       ,PZA   ,1,0.000001,0,0,8.5,13K0096                       ,                         ,                                        ,CAG13K0076                    
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,371.98,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,51.3072,0,0,0,0,0,0,0,0,320.67,137.43,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TBCI01            ,CASTAN DE INN PLUSS C/50 TABS.          ,       ,PZA   ,10,45.81,0,0,64.7518706,CAS13L0080                    ,                         ,                                        ,CAG13K0076                    
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,281.44,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,38.8192,0,0,0,0,0,0,0,0,242.62,103.98,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,VR        ,51JBNT02            ,NATUBRONCITO JARABE 240 ML.             ,       ,PZA   ,10,34.66,0,0,148.8,12K0163                       ,                         ,                                        ,CAG13K0076                    
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,341.04,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,47.04,0,0,0,0,0,0,0,0,294,126,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,VI        ,51TBNS01            ,NATUKROLL SILVER / 60 TABS.             ,       ,PZA   ,10,42,0,0,77.8,12K0154                       ,                         ,                                        ,CAG13K0076                    
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,0,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,0,0,0,0,0,0,0,0,0,0,0,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,VI        ,51TBBC01            ,B-COMPLEX/30 TABS.                      ,       ,PZA   ,1,0.000001,0,0,4.89,13F0062                       ,                         ,                                        ,CAG13K0076                    
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,373.52,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,51.52,0,0,0,0,0,0,0,0,322,138,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TBVT01            ,VARISAN C/100 TABS.                     ,       ,PZA   ,10,46,0,0,65.3,VT13K0074                     ,                         ,                                        ,CAG13K0076                    
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,1071.84,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,147.84,0,0,0,0,0,0,0,0,924,396,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,VR        ,51JBDB02            ,DIABEBRON JARABE 120 ML.                ,       ,PZA   ,40,33,0,0,340,13K0096                       ,                         ,                                        ,CAG13K0076                    
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,235.48,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,32.48,0,0,0,0,0,0,0,0,203,87,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,VI        ,51TBBC01            ,B-COMPLEX/30 TABS.                      ,       ,PZA   ,10,29,0,0,48.9,13F0062                       ,                         ,                                        ,CAG13K0076                    
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,0,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,0,0,0,0,0,0,0,0,0,0,0,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,VR        ,51TBCE01            ,CITRICE - EQ /60 TABS.                  ,       ,PZA   ,1,0.000001,0,0,11.09,1.30E+46,                         ,                                        ,CAG13K0076                    
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,492.56,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,67.9392,0,0,0,0,0,0,0,0,424.62,181.98,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,AR        ,51TBAF01            ,ARTRIFORTE /30 TABS.                    ,       ,PZA   ,10,60.66,0,0,167.4,13J0086                       ,                         ,                                        ,CAG13K0076                    
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,0,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,0,0,0,0,0,0,0,0,0,0,0,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,RJ        ,51CPPS01            ,PASSITILX-3 /30 CAPS.                   ,       ,PZA   ,1,0.000001,0,0,7.48,1.30E+47,                         ,                                        ,CAG13K0076                    
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,130.86,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,18.04992,0,0,0,0,0,0,0,0,112.812,48.348,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,RJ        ,51CPPS01            ,PASSITILX-3 /30 CAPS.                   ,       ,PZA   ,4,40.29,0,0,29.92,1.30E+47,                         ,                                        ,CAG13K0076                    
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,365.4,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,50.4,0,0,0,0,0,0,0,0,315,135,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,PRODIVA   ,55GLCI01            ,CASTAÑO DE INDIAS GEL 240 GRS.          ,       ,PZA   ,10,45,0,0,109.7,CAG13K0076                    ,                         ,                                        ,CAG13K0076                    
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,0,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,0,0,0,0,0,0,0,0,0,0,0,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,AR        ,51TBAF01            ,ARTRIFORTE /30 TABS.                    ,       ,PZA   ,1,0.000001,0,0,16.74,13J0086                       ,                         ,                                        ,CAG13K0076                    
N8        ,Dev. Just.   ,18/02/2014,FAR      ,42,0,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,0,0,0,0,0,0,0,0,0,0,0,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,PRODIVA   ,55GLCI01            ,CASTAÑO DE INDIAS GEL 240 GRS.          ,       ,PZA   ,1,0.000001,0,0,10.97,CAG13K0076                    ,                         ,                                        ,CAG13K0076                    
N9        ,Dev. Just.   ,18/02/2014,FAR      ,78,426.3,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,58.8,0,0,0,0,0,0,0,0,367.5,157.5,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,DI        ,51TBTM01            ,TAMARIN-LX /30 CAPS.                    ,       ,PZA   ,20,26.25,0,0,125.001481,14A0001                       ,                         ,                                        ,VG14A0001                     
N9        ,Dev. Just.   ,18/02/2014,FAR      ,78,6065.5,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,0,0,0,0,0,0,0,0,0,6065.5,2599.5,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,VR-0      ,51JBNT01            ,NATUBRON JARABE 240 ML.                 ,       ,PZA   ,250,34.66,0,0,4319.955763,14A0003                       ,                         ,                                        ,VG14A0001                     
N9        ,Dev. Just.   ,18/02/2014,FAR      ,78,386.19,0,PUBLICO EN GENERAL MUESTRAS                                                                                                                                                                                                                                   ,129,Pagada    ,53.2672,0,0,0,0,0,0,0,0,332.92,142.68,1,PESOS                                                                           ,13.1949,3,ANA LUISA MIRAMONTES ZEPEDA             ,            ,0,0,F     ,0,       ,0,       ,PRODIVA   ,55GLVG01            ,VARISAN GEL 240 GR.                     ,       ,PZA   ,10,47.56,0,0,123.2525857,VG14A0001                     ,                         ,                                        ,VG14A0001                     
N10       ,Dev. Just.   ,20/02/2014,FAR      ,125,7145.6,0,ROSARIO MENDOZA MACEDO                                                                                                                                                                                                                                        ,8,Pagada    ,985.6,0,0,0,0,0,0,0,0,6160,5040,1,PESOS                                                                           ,13.2741,5,ROBERTO ALONSO                          ,            ,0,0,F     ,0,       ,0,       ,RJ        ,51TBQE01            ,QUITA STRESS C/24 CAPS.                 ,       ,PZA   ,350,32,0,0,1950.7586,14B0008                       ,                         ,                                        ,14B0011                       
N10       ,Dev. Just.   ,20/02/2014,FAR      ,125,1525.04,0,ROSARIO MENDOZA MACEDO                                                                                                                                                                                                                                        ,8,Pagada    ,0,0,0,0,0,0,0,0,0,1525.04,1247.76,1,PESOS                                                                           ,13.2741,5,ROBERTO ALONSO                          ,            ,0,0,F     ,0,       ,0,       ,VR-0      ,51JBNT01            ,NATUBRON JARABE 240 ML.                 ,       ,PZA   ,80,34.66,0,0,1232.84232,14B0011                       ,                         ,                                        ,14B0011                       
N11       ,Dev. Just.   ,24/02/2014,FAR      ,12,7078.19,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,976.30272,0,0,0,0,0,0,0,0,6101.892,4067.928,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TBCI01            ,CASTAN DE INN PLUSS C/50 TABS.          ,       ,PZA   ,222,45.81,0,0,1802.64,CAS13L0079                    ,                         ,                                        ,13I0079                       
N11       ,Dev. Just.   ,24/02/2014,FAR      ,12,2649.15,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,365.4,0,0,0,0,0,0,0,0,2283.75,1522.5,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,DI        ,51TBTM01            ,TAMARIN-LX /30 CAPS.                    ,       ,PZA   ,145,26.25,0,0,996.7633616,13L0112                       ,                         ,                                        ,13I0079                       
N11       ,Dev. Just.   ,24/02/2014,FAR      ,12,0,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,0,0,0,0,0,0,0,0,0,0,0,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,RJ        ,51TBQE01            ,QUITA STRESS C/24 CAPS.                 ,       ,PZA   ,5,0.000001,0,0,27.6,13I0079                       ,                         ,                                        ,13I0079                       
N11       ,Dev. Just.   ,24/02/2014,FAR      ,12,0,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,0,0,0,0,0,0,0,0,0,0,0,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,RJ        ,51CPPS01            ,PASSITILX-3 /30 CAPS.                   ,       ,PZA   ,14,0.000001,0,0,104.72,12H0104-R                     ,                         ,                                        ,13I0079                       
N11       ,Dev. Just.   ,24/02/2014,FAR      ,12,4770.66,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,658.0224,0,0,0,0,0,0,0,0,4112.64,2741.76,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,AR        ,51TBCF02            ,CONDROFLEX PLUSS C/30 TABS.             ,       ,PZA   ,140,48.96,0,0,1929.2,13K0103                       ,                         ,                                        ,13I0079                       
N11       ,Dev. Just.   ,24/02/2014,FAR      ,12,841.26,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,116.0352,0,0,0,0,0,0,0,0,725.22,483.48,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,RJ        ,51CPPS01            ,PASSITILX-3 /30 CAPS.                   ,       ,PZA   ,30,40.29,0,0,224.4,1.30E+47,                         ,                                        ,13I0079                       
N11       ,Dev. Just.   ,24/02/2014,FAR      ,12,1705.2,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,235.2,0,0,0,0,0,0,0,0,1470,980,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,CP        ,51TBCG01            ,COLAGENER C/60 TABS.                    ,       ,PZA   ,70,35,0,0,900.2,13L0110                       ,                         ,                                        ,13I0079                       
N11       ,Dev. Just.   ,24/02/2014,FAR      ,12,1113.6,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,153.6,0,0,0,0,0,0,0,0,960,640,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,RJ        ,51TBQE01            ,QUITA STRESS C/24 CAPS.                 ,       ,PZA   ,50,32,0,0,276,13I0079                       ,                         ,                                        ,13I0079                       
N12       ,Dev. Just.   ,24/02/2014,FAR      ,22,913.5,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,126,0,0,0,0,0,0,0,0,787.5,525,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,DI        ,51TBTM01            ,TAMARIN-LX /30 CAPS.                    ,       ,PZA   ,50,26.25,0,0,343.711504,13L0112                       ,                         ,                                        ,13F0058                       
N12       ,Dev. Just.   ,24/02/2014,FAR      ,22,640.32,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,88.32,0,0,0,0,0,0,0,0,552,368,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,CK        ,51TBKC01            ,BIOMIRAL KC-TROL C/60 TABS.             ,       ,PZA   ,20,46,0,0,217.2,13D0030                       ,                         ,                                        ,13F0058                       
N12       ,Dev. Just.   ,24/02/2014,FAR      ,22,1496.4,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,206.4,0,0,0,0,0,0,0,0,1290,860,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,HR        ,51TBPF01            ,PLENIFORM 40 /30 TABS.                  ,       ,PZA   ,50,43,0,0,379,13J0085                       ,                         ,                                        ,13F0058                       
N12       ,Dev. Just.   ,24/02/2014,FAR      ,22,3962.11,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,546.49728,0,0,0,0,0,0,0,0,3415.608,2277.072,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,DI        ,51TBPK01            ,PROBIO KIDS / 30 TABS.                  ,       ,PZA   ,162,35.14,0,0,894.24,13F0058                       ,                         ,                                        ,13F0058                       
N13       ,Dev. Just.   ,24/02/2014,FAR      ,49,2994.62,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,0,0,0,0,0,0,0,0,0,2994.624,1996.416,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,VR-0      ,51JBNT01            ,NATUBRON JARABE 240 ML.                 ,       ,PZA   ,144,34.66,0,0,2488.294519,14A0003                       ,                         ,                                        ,1.30E+49
N13       ,Dev. Just.   ,24/02/2014,FAR      ,49,0,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,0,0,0,0,0,0,0,0,0,0,0,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,VR-0      ,51JBNT01            ,NATUBRON JARABE 240 ML.                 ,       ,PZA   ,15,0.000001,0,0,267.9,1.30E+49,                         ,                                        ,1.30E+49
N14       ,Dev. Just.   ,24/02/2014,FAR      ,90,800.4,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,110.4,0,0,0,0,0,0,0,0,690,460,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TBVT01            ,VARISAN C/100 TABS.                     ,       ,PZA   ,25,46,0,0,163.25,VT13K0074                     ,                         ,                                        ,13L0111                       
N14       ,Dev. Just.   ,24/02/2014,FAR      ,90,733.72,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,101.2032,0,0,0,0,0,0,0,0,632.52,421.68,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,DI        ,51TBPK01            ,PROBIO KIDS / 30 TABS.                  ,       ,PZA   ,30,35.14,0,0,165.6,13F0058                       ,                         ,                                        ,13L0111                       
N14       ,Dev. Just.   ,24/02/2014,FAR      ,90,7078.19,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,976.30272,0,0,0,0,0,0,0,0,6101.892,4067.928,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TBCI01            ,CASTAN DE INN PLUSS C/50 TABS.          ,       ,PZA   ,222,45.81,0,0,1504.335312,CAS14A0002                    ,                         ,                                        ,13L0111                       
N14       ,Dev. Just.   ,24/02/2014,FAR      ,90,1496.4,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,206.4,0,0,0,0,0,0,0,0,1290,860,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,HR        ,51TBPF01            ,PLENIFORM 40 /30 TABS.                  ,       ,PZA   ,50,43,0,0,379,13J0085                       ,                         ,                                        ,13L0111                       
N14       ,Dev. Just.   ,24/02/2014,FAR      ,90,4770.66,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,658.0224,0,0,0,0,0,0,0,0,4112.64,2741.76,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,AR        ,51TBCF02            ,CONDROFLEX PLUSS C/30 TABS.             ,       ,PZA   ,140,48.96,0,0,1927.1913,13L0111                       ,                         ,                                        ,13L0111                       
N15       ,Dev. Just.   ,24/02/2014,FAR      ,91,584.64,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,80.64,0,0,0,0,0,0,0,0,504,336,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,VI        ,51TBCK03            ,C-KIDS C/30 TABS.                       ,       ,PZA   ,30,28,0,0,161.0959353,13L0114                       ,                         ,                                        ,CAS14A0002                    
N15       ,Dev. Just.   ,24/02/2014,FAR      ,91,2385.33,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,329.0112,0,0,0,0,0,0,0,0,2056.32,1370.88,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,AR        ,51TBCF02            ,CONDROFLEX PLUSS C/30 TABS.             ,       ,PZA   ,70,48.96,0,0,963.5956498,13L0111                       ,                         ,                                        ,CAS14A0002                    
N15       ,Dev. Just.   ,24/02/2014,FAR      ,91,9437.59,0,DIFARMER                                                                                                                                                                                                                                                      ,4,Pagada    ,1301.73696,0,0,0,0,0,0,0,0,8135.856,5423.904,1,PESOS                                                                           ,13.2704,7,OMAR OCHOA                              ,            ,0,0,F     ,0,       ,0,       ,VN        ,51TBCI01            ,CASTAN DE INN PLUSS C/50 TABS.          ,       ,PZA   ,296,45.81,0,0,2005.780416,CAS14A0002                    ,                         ,                                        ,CAS14A0002                    
