No_nota   ,Tip_not      ,Fecha     ,Fec_rea   ,Conc,Cve_factu,No_fac    ,Tot_nota            ,Saldo               ,Nom_cte                                                                                                                                                                                                                                                       ,No_cliente,No_estado ,Iva                 ,Ieps                ,Retisrcre           ,Retiva_not          ,Impto1              ,Impto2              ,Timpto1,Timpto2,Otrosimptos,Subtotal            ,Descuento           ,Cve_mon   ,Des_mon                                                                         ,Tip_cam   ,Cve_age,Nom_age                                 ,Cve_ncre    ,Cve_mov   ,Num_cuenta,Afeban,No_ped    ,Suc_ped,No_rem    ,Suc_rem,4
N14       ,Descuento    ,31/05/2022,  /  /    ,F   ,XAN      ,13,16658.15,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,2297.68,0,0,0,0,0,0,0,0,14360.47,0,1,PESOS                                                                           ,19.5965,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N15       ,Descuento    ,31/05/2022,  /  /    ,F   ,XAN      ,13,4747.57,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,654.84,0,0,0,0,0,0,0,0,4092.73,0,1,PESOS                                                                           ,19.5965,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N16       ,Descuento    ,07/06/2022,  /  /    ,F   ,XAN      ,52,92,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,12.69,0,0,0,0,0,0,0,0,79.31,0,1,PESOS                                                                           ,19.5742,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N17       ,Descuento    ,07/06/2022,  /  /    ,F   ,XAN      ,52,5287.25,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,729.28,0,0,0,0,0,0,0,0,4557.97,0,1,PESOS                                                                           ,19.5742,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N18       ,Descuento    ,07/06/2022,  /  /    ,F   ,XAN      ,52,18551.69,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,2558.85,0,0,0,0,0,0,0,0,15992.84,0,1,PESOS                                                                           ,19.5742,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N19       ,Descuento    ,07/06/2022,  /  /    ,F   ,XAN      ,52,19528.1,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,2693.53,0,0,0,0,0,0,0,0,16834.57,0,1,PESOS                                                                           ,19.5742,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N20       ,Descuento    ,16/06/2022,  /  /    ,F   ,XAN      ,14,92,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,12.69,0,0,0,0,0,0,0,0,79.31,0,1,PESOS                                                                           ,20.6583,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N21       ,Descuento    ,16/06/2022,  /  /    ,F   ,XAN      ,14,18878.32,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,2603.91,0,0,0,0,0,0,0,0,16274.41,0,1,PESOS                                                                           ,20.6583,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N22       ,Descuento    ,16/06/2022,  /  /    ,F   ,XAN      ,14,66239.67,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,9136.51,0,0,0,0,0,0,0,0,57103.16,0,1,PESOS                                                                           ,20.6583,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N23       ,Descuento    ,16/06/2022,  /  /    ,F   ,XAN      ,17,68.03,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,9.38,0,0,0,0,0,0,0,0,58.65,0,1,PESOS                                                                           ,20.6583,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N24       ,Descuento    ,16/06/2022,  /  /    ,F   ,XAN      ,14,69725.94,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,9617.37,0,0,0,0,0,0,0,0,60108.57,0,1,PESOS                                                                           ,20.6583,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N25       ,Descuento    ,28/06/2022,  /  /    ,F   ,XAN      ,31,92,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,12.69,0,0,0,0,0,0,0,0,79.31,0,1,PESOS                                                                           ,19.8707,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N26       ,Descuento    ,28/06/2022,  /  /    ,F   ,XAN      ,57,13095.16,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,1806.23,0,0,0,0,0,0,0,0,11288.93,0,1,PESOS                                                                           ,19.8707,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N27       ,Descuento    ,28/06/2022,  /  /    ,F   ,XAN      ,31,19503.28,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,2690.11,0,0,0,0,0,0,0,0,16813.17,0,1,PESOS                                                                           ,19.8707,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N28       ,Descuento    ,28/06/2022,  /  /    ,F   ,XAN      ,31,68432.82,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,9439.01,0,0,0,0,0,0,0,0,58993.81,0,1,PESOS                                                                           ,19.8707,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N29       ,Descuento    ,28/06/2022,  /  /    ,F   ,XAN      ,31,68.03,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,9.38,0,0,0,0,0,0,0,0,58.65,0,1,PESOS                                                                           ,19.8707,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N30       ,Descuento    ,28/06/2022,  /  /    ,F   ,XAN      ,31,15718.66,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,2168.09,0,0,0,0,0,0,0,0,13550.57,0,1,PESOS                                                                           ,19.8707,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N31       ,Descuento    ,28/06/2022,  /  /    ,F   ,XAN      ,31,72034.46,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,9935.79,0,0,0,0,0,0,0,0,62098.67,0,1,PESOS                                                                           ,19.8707,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N32       ,Descuento    ,28/06/2022,  /  /    ,F   ,XAN      ,69,92,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,12.69,0,0,0,0,0,0,0,0,79.31,0,1,PESOS                                                                           ,19.8707,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N33       ,Descuento    ,28/06/2022,  /  /    ,F   ,XAN      ,69,3771.47,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,520.2,0,0,0,0,0,0,0,0,3251.27,0,1,PESOS                                                                           ,19.8707,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N34       ,Descuento    ,28/06/2022,  /  /    ,F   ,XAN      ,69,13233.22,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,1825.27,0,0,0,0,0,0,0,0,11407.95,0,1,PESOS                                                                           ,19.8707,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N35       ,Descuento    ,28/06/2022,  /  /    ,F   ,XAN      ,69,13929.7,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,1921.34,0,0,0,0,0,0,0,0,12008.36,0,1,PESOS                                                                           ,19.8707,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N36       ,Descuento    ,28/06/2022,  /  /    ,F   ,XAN      ,71,1369.87,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,188.95,0,0,0,0,0,0,0,0,1180.92,0,1,PESOS                                                                           ,19.8707,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N37       ,Descuento    ,28/06/2022,  /  /    ,F   ,XAN      ,71,4806.56,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,662.97,0,0,0,0,0,0,0,0,4143.59,0,1,PESOS                                                                           ,19.8707,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N38       ,Descuento    ,28/06/2022,  /  /    ,F   ,XAN      ,71,5059.54,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,697.87,0,0,0,0,0,0,0,0,4361.67,0,1,PESOS                                                                           ,19.8707,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N39       ,Descuento    ,28/06/2022,  /  /    ,F   ,XAN      ,71,92.01,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,12.69,0,0,0,0,0,0,0,0,79.32,0,1,PESOS                                                                           ,19.8707,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N40       ,Descuento    ,08/07/2022,  /  /    ,F   ,XAN      ,70,207,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,28.55,0,0,0,0,0,0,0,0,178.45,0,1,PESOS                                                                           ,20.7228,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N41       ,Descuento    ,08/07/2022,  /  /    ,F   ,XAN      ,70,18935.68,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,2611.82,0,0,0,0,0,0,0,0,16323.86,0,1,PESOS                                                                           ,20.7228,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N42       ,Descuento    ,08/07/2022,  /  /    ,F   ,XAN      ,70,66441.1,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,9164.29,0,0,0,0,0,0,0,0,57276.81,0,1,PESOS                                                                           ,20.7228,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N43       ,Descuento    ,08/07/2022,  /  /    ,F   ,XAN      ,19,26486.85,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,3653.36,0,0,0,0,0,0,0,0,22833.49,0,1,PESOS                                                                           ,20.7228,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N44       ,Descuento    ,08/07/2022,  /  /    ,F   ,XAN      ,70,69938,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,9646.62,0,0,0,0,0,0,0,0,60291.38,0,1,PESOS                                                                           ,20.7228,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N45       ,Descuento    ,02/08/2022,  /  /    ,F   ,XAN      ,59,92,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,12.69,0,0,0,0,0,0,0,0,79.31,0,1,PESOS                                                                           ,20.3485,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N46       ,Descuento    ,02/08/2022,  /  /    ,F   ,XAN      ,59,26418.94,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,3643.99,0,0,0,0,0,0,0,0,22774.95,0,1,PESOS                                                                           ,20.3485,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N47       ,Descuento    ,02/08/2022,  /  /    ,F   ,XAN      ,59,17882.3,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,2466.52,0,0,0,0,0,0,0,0,15415.78,0,1,PESOS                                                                           ,20.3485,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N48       ,Descuento    ,02/08/2022,  /  /    ,F   ,XAN      ,59,62745,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,8654.48,0,0,0,0,0,0,0,0,54090.52,0,1,PESOS                                                                           ,20.3485,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N49       ,Descuento    ,02/08/2022,  /  /    ,F   ,XAN      ,61,1723.5,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,237.72,0,0,0,0,0,0,0,0,1485.78,0,1,PESOS                                                                           ,20.3485,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N50       ,Descuento    ,02/08/2022,  /  /    ,F   ,XAN      ,59,66047.4,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,9109.99,0,0,0,0,0,0,0,0,56937.41,0,1,PESOS                                                                           ,20.3485,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N51       ,Descuento    ,12/08/2022,  /  /    ,F   ,XAN      ,22,92,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,12.69,0,0,0,0,0,0,0,0,79.31,0,1,PESOS                                                                           ,19.9562,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N52       ,Descuento    ,12/08/2022,  /  /    ,F   ,XAN      ,22,26730.67,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,3686.99,0,0,0,0,0,0,0,0,23043.68,0,1,PESOS                                                                           ,19.9562,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N53       ,Descuento    ,12/08/2022,  /  /    ,F   ,XAN      ,22,18093.32,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,2495.63,0,0,0,0,0,0,0,0,15597.69,0,1,PESOS                                                                           ,19.9562,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N54       ,Descuento    ,12/08/2022,  /  /    ,F   ,XAN      ,22,63485.38,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,8756.6,0,0,0,0,0,0,0,0,54728.78,0,1,PESOS                                                                           ,19.9562,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N55       ,Descuento    ,12/08/2022,  /  /    ,F   ,XAN      ,22,66826.72,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,9217.48,0,0,0,0,0,0,0,0,57609.24,0,1,PESOS                                                                           ,19.9562,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N56       ,Descuento    ,19/08/2022,  /  /    ,F   ,XAN      ,23,19407.53,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,2676.9,0,0,0,0,0,0,0,0,16730.63,0,1,PESOS                                                                           ,20.0387,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N57       ,Descuento    ,19/08/2022,  /  /    ,F   ,XAN      ,23,68085.92,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,9391.16,0,0,0,0,0,0,0,0,58694.76,0,1,PESOS                                                                           ,20.0387,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N58       ,Descuento    ,19/08/2022,  /  /    ,F   ,XAN      ,46,5335.23,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,735.89,0,0,0,0,0,0,0,0,4599.34,0,1,PESOS                                                                           ,20.0387,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N59       ,Descuento    ,19/08/2022,  /  /    ,F   ,XAN      ,23,28667.8,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,3954.18,0,0,0,0,0,0,0,0,24713.62,0,1,PESOS                                                                           ,20.0387,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N60       ,Descuento    ,19/08/2022,  /  /    ,F   ,XAN      ,23,71669.44,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,9885.44,0,0,0,0,0,0,0,0,61784,0,1,PESOS                                                                           ,20.0387,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N61       ,Descuento    ,12/09/2022,  /  /    ,F   ,XAN      ,84,3034.17,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,418.51,0,0,0,0,0,0,0,0,2615.66,0,1,PESOS                                                                           ,20.0203,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N62       ,Descuento    ,12/09/2022,  /  /    ,F   ,XAN      ,84,1706.29,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,235.35,0,0,0,0,0,0,0,0,1470.94,0,1,PESOS                                                                           ,20.0203,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N63       ,Descuento    ,12/09/2022,  /  /    ,F   ,XAN      ,84,1796.1,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,247.74,0,0,0,0,0,0,0,0,1548.36,0,1,PESOS                                                                           ,20.0203,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N64       ,Descuento    ,12/09/2022,  /  /    ,F   ,XAN      ,84,11.5,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,1.59,0,0,0,0,0,0,0,0,9.91,0,1,PESOS                                                                           ,20.0203,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N65       ,Descuento    ,12/09/2022,  /  /    ,F   ,XAN      ,84,486.3,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,67.08,0,0,0,0,0,0,0,0,419.22,0,1,PESOS                                                                           ,20.0203,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N66       ,Descuento    ,13/09/2022,  /  /    ,F   ,XAN      ,85,1728.03,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,238.35,0,0,0,0,0,0,0,0,1489.68,0,1,PESOS                                                                           ,19.9027,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N67       ,Descuento    ,13/09/2022,  /  /    ,F   ,XAN      ,85,2468.27,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,340.45,0,0,0,0,0,0,0,0,2127.82,0,1,PESOS                                                                           ,19.9027,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N68       ,Descuento    ,13/09/2022,  /  /    ,F   ,XAN      ,85,2344.85,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,323.43,0,0,0,0,0,0,0,0,2021.42,0,1,PESOS                                                                           ,19.9027,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N69       ,Descuento    ,13/09/2022,  /  /    ,F   ,XAN      ,85,668.28,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,92.18,0,0,0,0,0,0,0,0,576.1,0,1,PESOS                                                                           ,19.9027,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N70       ,Descuento    ,13/09/2022,  /  /    ,F   ,XAN      ,85,11.5,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,1.59,0,0,0,0,0,0,0,0,9.91,0,1,PESOS                                                                           ,19.9027,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N76       ,Descuento    ,13/09/2022,  /  /    ,F   ,XAN      ,23,92,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,12.69,0,0,0,0,0,0,0,0,79.31,0,1,PESOS                                                                           ,19.9027,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N77       ,Descuento    ,13/09/2022,  /  /    ,F   ,XAN      ,54,16566.16,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,2284.99,0,0,0,0,0,0,0,0,14281.17,0,1,PESOS                                                                           ,19.9027,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N78       ,Descuento    ,13/09/2022,  /  /    ,F   ,XAN      ,54,15737.86,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,2170.74,0,0,0,0,0,0,0,0,13567.12,0,1,PESOS                                                                           ,19.9027,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N79       ,Descuento    ,13/09/2022,  /  /    ,F   ,XAN      ,54,4485.29,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,618.66,0,0,0,0,0,0,0,0,3866.63,0,1,PESOS                                                                           ,19.9027,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N80       ,Descuento    ,13/09/2022,  /  /    ,F   ,XAN      ,54,92,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,12.69,0,0,0,0,0,0,0,0,79.31,0,1,PESOS                                                                           ,19.9027,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N81       ,Descuento    ,27/09/2022,  /  /    ,F   ,XAN      ,86,34.5,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,4.76,0,0,0,0,0,0,0,0,29.74,0,1,PESOS                                                                           ,20.1627,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
N82       ,Descuento    ,27/09/2022,  /  /    ,F   ,XAN      ,86,471.48,0,FARMACIA GUADALAJARA                                                                                                                                                                                                                                          ,3,Pagada    ,65.03,0,0,0,0,0,0,0,0,406.45,0,1,PESOS                                                                           ,20.1627,1,AGENTE SUPERVISOR                       ,DESC        ,0,0,F     ,0,       ,0,       ,
