Cve_prod            ,New_med,Lote                          ,Lugar     ,Cve_monc  ,Tip_cam   ,Cto_ent             ,Stalote,Cve_tial  ,Cse_prod  ,Fact_peso     ,Ind_med,Existencia          ,Cosprom             ,Fech_venc ,Diasvida,Cve_monc2 ,Cto_ent2            ,Peso_tot            ,Desc_prod                               ,Codbar              ,Uni_med,Lista_med   ,Des_lug                                 ,Des_tial                                ,Otrodl1                                                                                             ,Otrodl2                                                                                             ,Desc_med                                
MPE-0026            ,       ,MP201017                      ,1,1,1,1390.022,1,2,EXIPIENTE ,0,0,35,1363.162,31/03/2023,0,1,1390.022,0,HIDROXIPROPILCELULOSA EXF               ,                    ,KG     ,            ,(NO USAR)***CUARENTENA MP Y ME          ,MATERIA PRIMA                           ,                                                                                                    ,                                                                                                    ,                                        
51PLCV03            ,       ,20K2150                       ,1,1,1,25.938195,1,1,VI        ,0,0,252,20.04698082,30/11/2022,0,1,25.938195,0,C-VYM CERO AZUCAR C/11 SOBRES           ,7.50E+12,PIEZA  ,            ,(NO USAR)***CUARENTENA MP Y ME          ,PRODUCTO TERMINADO                      ,                                                                                                    ,                                                                                                    ,                                        
MTO-0296            ,       ,1,10,1,1,68.6,0,6,DESARROLLO,0,0,3,68.6,  /  /    ,0,1,68.6,0,ESCOBILLON                              ,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,DESARROLLO                              ,                                                                                                    ,                                                                                                    ,                                        
MTO-0403            ,       ,                              ,10,1,1,79,0,6,DESARROLLO,0,0,2,79,  /  /    ,0,1,79,0,PROBETA DE PLASTICO 100ML               ,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,DESARROLLO                              ,                                                                                                    ,                                                                                                    ,                                        
MTO-0404            ,       ,                              ,10,1,1,278.45,0,6,DESARROLLO,0,0,2,97,  /  /    ,0,1,278.45,0,PICETA DE PLASTICO 500ML                ,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,DESARROLLO                              ,                                                                                                    ,                                                                                                    ,                                        
MTO-0405            ,       ,1,10,1,1,253.19,0,6,DESARROLLO,0,0,2,253.19,  /  /    ,0,1,253.19,0,PIPETA GRADUADA                         ,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,DESARROLLO                              ,                                                                                                    ,                                                                                                    ,                                        
ENS-0001            ,       ,                              ,10,1,1,136.1,0,18,ENSERES   ,0,0,38,74.91055262,  /  /    ,0,1,136.1,0,ESCOBAS                                 ,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0001            ,       ,1,10,1,1,136.1,0,18,ENSERES   ,0,0,16,112.5725,  /  /    ,0,1,136.1,0,ESCOBAS                                 ,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0002            ,       ,                              ,10,1,1,59.5,0,18,ENSERES   ,0,0,65,67.89353847,  /  /    ,0,1,59.5,0,TRAPEADOR                               ,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0002            ,       ,1.00E+00,10,1,1,59.5,0,18,ENSERES   ,0,0,18,66.68333333,  /  /    ,0,1,59.5,0,TRAPEADOR                               ,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0003            ,       ,                              ,10,1,1,523,0,18,ENSERES   ,0,0,86,261.2476744,  /  /    ,0,1,523,0,PAPEL HIGIENICO ROLLO 350MTS CJ C/8 TORK,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0003            ,       ,1,10,1,1,523,0,18,ENSERES   ,0,0,18,269.2666667,  /  /    ,0,1,523,0,PAPEL HIGIENICO ROLLO 350MTS CJ C/8 TORK,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0004            ,       ,                              ,10,1,1,258.16,0,18,ENSERES   ,0,0,256,229.9615625,  /  /    ,0,1,258.16,0,TOALLA INTERDOBLADA NATURALC/8 PAQ TORK ,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0004            ,       ,1,10,1,1,258.16,0,18,ENSERES   ,0,0,60,214.29,  /  /    ,0,1,258.16,0,TOALLA INTERDOBLADA NATURALC/8 PAQ TORK ,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0005            ,       ,                              ,10,1,1,16.75,0,18,ENSERES   ,0,0,102,16.25490196,  /  /    ,0,1,16.75,0,SHAMPOO SANITIZANTE ANTIBACTERIAL       ,                    ,LITRO  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0005            ,       ,1.00E+00,10,1,1,16.75,0,18,ENSERES   ,0,0,2,16.75,  /  /    ,0,1,16.75,0,SHAMPOO SANITIZANTE ANTIBACTERIAL       ,                    ,LITRO  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0006            ,       ,                              ,10,1,1,196.99,0,18,ENSERES   ,0,0,383,9.50783289,  /  /    ,0,1,196.99,0,FABULOSO BIDON 20LT CLEANSOL LAVANDA    ,                    ,BIDON  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0012            ,       ,                              ,10,1,1,145,0,18,ENSERES   ,0,0,25,32.702,  /  /    ,0,1,145,0,CLORO BIDON 20LT (CLORISOL)             ,                    ,BIDON  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0012            ,       ,1,10,1,1,145,0,18,ENSERES   ,0,0,4,125.85,  /  /    ,0,1,145,0,CLORO BIDON 20LT (CLORISOL)             ,                    ,BIDON  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0015            ,       ,                              ,10,1,1,397.1,0,18,ENSERES   ,0,0,107,92.9864486,  /  /    ,0,1,397.1,0,JABON ROMA BOLSA 10KG                   ,                    ,PIEZA  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0015            ,       ,1,10,1,1,397.1,0,18,ENSERES   ,0,0,5,397.1,  /  /    ,0,1,397.1,0,JABON ROMA BOLSA 10KG                   ,                    ,PIEZA  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0016            ,       ,                              ,10,1,1,83,0,18,ENSERES   ,0,0,2235,66.80071588,  /  /    ,0,1,83,0,BOLSA NATURAL 70 X 90                   ,                    ,KG     ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0016            ,       ,1,10,1,1,83,0,18,ENSERES   ,0,0,460,64.43586957,  /  /    ,0,1,83,0,BOLSA NATURAL 70 X 90                   ,                    ,KG     ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0017            ,       ,                              ,10,1,1,35.1,0,18,ENSERES   ,0,0,138,42.65767392,  /  /    ,0,1,35.1,0,BOLSA JUMBO NEGRA BASURA 70X30X120      ,                    ,KG     ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0017            ,       ,1,10,1,1,35.1,0,18,ENSERES   ,0,0,55,42.44636364,  /  /    ,0,1,35.1,0,BOLSA JUMBO NEGRA BASURA 70X30X120      ,                    ,KG     ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0018            ,       ,                              ,10,1,1,29.99,0,18,ENSERES   ,0,0,54,31.03833334,  /  /    ,0,1,29.99,0,AROMATIZANTE EN AEROSOL WISE PZA        ,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0020            ,       ,                              ,10,1,1,109,0,18,ENSERES   ,0,0,44,215.7056136,  /  /    ,0,1,109,0,COFIAS                                  ,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0020            ,       ,1,10,1,1,109,0,18,ENSERES   ,0,0,10,357.2,  /  /    ,0,1,109,0,COFIAS                                  ,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0021            ,       ,                              ,10,1,1,1360,0,18,ENSERES   ,0,0,10,159.196,  /  /    ,0,1,1360,0,CUBRE ZAPATO C/ANTIDER CAJA C/10000 ECO ,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0021            ,       ,1,10,1,1,1360,0,18,ENSERES   ,0,0,8,149,  /  /    ,0,1,1360,0,CUBRE ZAPATO C/ANTIDER CAJA C/10000 ECO ,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0023            ,       ,                              ,10,1,1,54,0,18,ENSERES   ,0,0,185,47.22810811,  /  /    ,0,1,54,0,CUBREBOCA 3 CAPAS BLANCO CAJA C/50 ECO  ,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0023            ,       ,1.00E+00,10,1,1,54,0,18,ENSERES   ,0,0,44,43,  /  /    ,0,1,54,0,CUBREBOCA 3 CAPAS BLANCO CAJA C/50 ECO  ,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0023            ,       ,ME1                           ,10,1,1,54,0,18,ENSERES   ,0,0,10,43,  /  /    ,0,1,54,0,CUBREBOCA 3 CAPAS BLANCO CAJA C/50 ECO  ,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0024            ,       ,                              ,10,1,1,115,0,18,ENSERES   ,0,0,135,186.4222222,  /  /    ,0,1,115,0,GUANTES DESECHABLES DE LATEX            ,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0024            ,       ,1,10,1,1,115,0,18,ENSERES   ,0,0,97,270,  /  /    ,0,1,115,0,GUANTES DESECHABLES DE LATEX            ,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0025            ,       ,                              ,10,1,1,515.98,0,18,ENSERES   ,0,0,925,238.7089946,  /  /    ,0,1,515.98,0,GUANTE NITRILO CH-MED-GDE CJ C/100 AMBID,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0025            ,       ,1,10,1,1,515.98,0,18,ENSERES   ,0,0,134,232.2238806,  /  /    ,0,1,515.98,0,GUANTE NITRILO CH-MED-GDE CJ C/100 AMBID,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0025            ,       ,ME1                           ,10,1,1,515.98,0,18,ENSERES   ,0,0,40,227,  /  /    ,0,1,515.98,0,GUANTE NITRILO CH-MED-GDE CJ C/100 AMBID,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0026            ,       ,                              ,10,1,1,11.65,0,18,ENSERES   ,0,0,240,17.46875,  /  /    ,0,1,11.65,0,PAÑOS DE LIMPIEZA                       ,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0026            ,       ,1,10,1,1,11.65,0,18,ENSERES   ,0,0,120,22.1,  /  /    ,0,1,11.65,0,PAÑOS DE LIMPIEZA                       ,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0036            ,       ,                              ,10,1,1,128.99,0,18,ENSERES   ,0,0,16,190.8275,  /  /    ,0,1,128.99,0,JALADOR                                 ,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0036            ,       ,1,10,1,1,128.99,0,18,ENSERES   ,0,0,7,208.0142857,  /  /    ,0,1,128.99,0,JALADOR                                 ,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0038            ,       ,                              ,10,1,1,150,0,18,ENSERES   ,0,0,49,86.05,  /  /    ,0,1,150,0,GUANTES DE NITRILO VERDE                ,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0038            ,       ,1,10,1,1,150,0,18,ENSERES   ,0,0,6,16.74,  /  /    ,0,1,150,0,GUANTES DE NITRILO VERDE                ,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0040            ,       ,                              ,10,1,1,63.91,0,18,ENSERES   ,0,0,180,64.51555556,  /  /    ,0,1,63.91,0,BOLSA NATURAL  40X60                    ,                    ,KG     ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0040            ,       ,1,10,1,1,63.91,0,18,ENSERES   ,0,0,10,63.91,  /  /    ,0,1,63.91,0,BOLSA NATURAL  40X60                    ,                    ,KG     ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0043            ,       ,                              ,10,1,1,63.91,0,18,ENSERES   ,0,0,439,64.82913441,  /  /    ,0,1,63.91,0,BOLSA NATURAL  50X70                    ,                    ,KG     ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0043            ,       ,1,10,1,1,63.91,0,18,ENSERES   ,0,0,136,67.80705883,  /  /    ,0,1,63.91,0,BOLSA NATURAL  50X70                    ,                    ,KG     ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0044            ,       ,                              ,10,1,1,63.91,0,18,ENSERES   ,0,0,115,64.16,  /  /    ,0,1,63.91,0,BOLSA NATURAL 20X30                     ,                    ,KG     ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0044            ,       ,1,10,1,1,63.91,0,18,ENSERES   ,0,0,5,63.91,  /  /    ,0,1,63.91,0,BOLSA NATURAL 20X30                     ,                    ,KG     ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0046            ,       ,                              ,10,1,1,324.94,0,18,ENSERES   ,0,0,82,23.34853659,  /  /    ,0,1,324.94,0,SHAMPOO PARA MANOS                      ,                    ,LITRO  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0047            ,       ,                              ,10,1,1,218.4,0,18,ENSERES   ,0,0,16,205.9,  /  /    ,0,1,218.4,0,FIBRA SCOTCH BRITE CAJA C/12            ,                    ,PIEZA  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0047            ,       ,1,10,1,1,218.4,0,18,ENSERES   ,0,0,1,218.4,  /  /    ,0,1,218.4,0,FIBRA SCOTCH BRITE CAJA C/12            ,                    ,PIEZA  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0048            ,       ,1,10,1,1,41.3,1,18,ENSERES   ,0,0,10,41.3,10/01/2023,0,1,41.3,0,BOLSA JUMBO CAMISETA NEGRA              ,                    ,KG     ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0051            ,       ,1,10,1,1,125,1,9,ENSERES   ,0,0,11,180,07/07/2023,0,1,125,0,PASTILLA DE CLORO                       ,                    ,KG     ,            ,ALMACEN DE ENSERES VARIOS               ,CONSUMO INTERNO                         ,                                                                                                    ,                                                                                                    ,                                        
ENS-0054            ,       ,1,10,1,1,16.9,0,18,ENSERES   ,0,0,15,16.9,  /  /    ,0,1,16.9,0,PAÑO PARA LIMPIEZA                      ,                    ,PIEZA  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0055            ,       ,                              ,10,1,1,112.5,0,18,ENSERES   ,0,0,5,112.5,  /  /    ,0,1,112.5,0,CUBRE PELO PLISADO CAJA C/1000 MCA ECO  ,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0063            ,       ,                              ,10,1,1,554.14,0,18,ENSERES   ,0,0,1,554.14,  /  /    ,0,1,554.14,0,SANITIZANTE BASE ALCOHOL ETILICO 70%    ,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0072            ,       ,                              ,10,1,1,240,0,18,ENSERES   ,0,0,1,240,  /  /    ,0,1,240,0,SANITIZANTE BASE DE HIPOCLORITO DE SODIO,                    ,PZA    ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0073            ,       ,                              ,10,1,1,205.9,0,18,ENSERES   ,0,0,4,207.1375,  /  /    ,0,1,205.9,0,FIBRAS VERDES 3M                        ,                    ,PAQ    ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0073            ,       ,1,10,1,1,205.9,0,18,ENSERES   ,0,0,10,14.5,  /  /    ,0,1,205.9,0,FIBRAS VERDES 3M                        ,                    ,PAQ    ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0074            ,       ,                              ,10,1,1,777.9,0,18,ENSERES   ,0,0,19,63.157895,  /  /    ,0,1,777.9,0,GEL ANTIBACTERIAL BIDON 20LT            ,                    ,BIDON  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0077            ,       ,                              ,10,1,1,1776,0,18,ENSERES   ,0,0,6,1720,  /  /    ,0,1,1776,0,USSAN F-50                              ,                    ,PIEZA  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0077            ,       ,1,10,1,1,1776,0,18,ENSERES   ,0,0,3,1692,  /  /    ,0,1,1776,0,USSAN F-50                              ,                    ,PIEZA  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0078            ,       ,                              ,10,1,1,3070,0,18,ENSERES   ,0,0,6,2924,  /  /    ,0,1,3070,0,USSAN F-64                              ,                    ,PIEZA  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0078            ,       ,1,10,1,1,3070,0,18,ENSERES   ,0,0,3,2924,  /  /    ,0,1,3070,0,USSAN F-64                              ,                    ,PIEZA  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0083            ,       ,                              ,10,1,1,65,0,18,ENSERES   ,0,0,3,65,  /  /    ,0,1,65,0,BASE PARA MOPS                          ,                    ,PIEZA  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0084            ,       ,                              ,10,1,1,43.8,0,18,ENSERES   ,0,0,3,54,  /  /    ,0,1,43.8,0,FUNDA PARA MOPS                         ,                    ,PIEZA  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0086            ,       ,                              ,10,1,1,1071.9,0,18,ENSERES   ,0,0,6,921.4333333,  /  /    ,0,1,1071.9,0,CONOS PARA AGUA CAJA C/20 PAQ C/250     ,                    ,CAJA   ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0088            ,       ,                              ,10,1,1,394,0,18,ENSERES   ,0,0,12,378.1666667,  /  /    ,0,1,394,0,SANICLOR PLUS                           ,                    ,PIEZA  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0088            ,       ,MES0190-0001-21               ,10,1,1,394,0,18,ENSERES   ,0,0,3,375,  /  /    ,0,1,394,0,SANICLOR PLUS                           ,                    ,PIEZA  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,FH1144                                                                                              ,                                                                                                    ,                                        
ENS-0089            ,       ,                              ,10,1,1,1823,0,18,ENSERES   ,0,0,6,1765,  /  /    ,0,1,1823,0,GERMICLIN                               ,                    ,PIEZA  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0089            ,       ,1,10,1,1,1823,0,18,ENSERES   ,0,0,1,1736,  /  /    ,0,1,1823,0,GERMICLIN                               ,                    ,PIEZA  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0095            ,       ,                              ,10,1,1,16.75,0,18,ENSERES   ,0,0,23,24.84782609,  /  /    ,0,1,16.75,0,ATOMIZADOR 1 LITRO                      ,                    ,PIEZA  ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
ENS-0099            ,       ,                              ,10,1,1,35.1,0,18,ENSERES   ,0,0,5,44.71,  /  /    ,0,1,35.1,0,BOLSA NEGRA                             ,                    ,KG     ,            ,ALMACEN DE ENSERES VARIOS               ,ENSERES VARIOS                          ,                                                                                                    ,                                                                                                    ,                                        
